dataset_id,dataset_name,country,basin,product,domain,migration,file_name,format,size_bytes,size_human,size_method,n_files,dims,sample_rate_ms,has_labels,label_type,label_format,label_source,ancillary,license,license_spdx,commercial_ok,redistribution_ok,attribution_required,share_alike,ml_training_ok,usage_basis,access,url,verified,ml_ready,notes
volve-osdu,Volve (OSDU open test-data S3 mirror),NO,Norwegian North Sea (block 15/9),full stack,post-stack,PSDM,ST0202R08_PS_PSDM_RAW_PP_TIME.MIG_RAW.POST_Stack.3D.JS-017534.segy,SEG-Y,277427976,277.43 MB,listing,1,,,no,,,,,"Equinor Open Data Licence (study, research and development permitted for academic institutions, students and researchers; OSDU repo tooling itself is Apache-2.0)",,no,unclear,yes,unclear,unclear,licence-text,open-download,https://s3.amazonaws.com/osdu-seismic-test-data/volve/seismic/st0202/stacks/ST0202R08_PS_PSDM_RAW_PP_TIME.MIG_RAW.POST_Stack.3D.JS-017534.segy,yes,4,Raw (MIG_RAW) PSDM post-stack in PP TIME - the unconditioned counterpart to the FULL_OFFSET_DEPTH stack; useful as a processing-effect target.
volve-osdu,Volve (OSDU open test-data S3 mirror),NO,Norwegian North Sea (block 15/9),velocity volume,post-stack,PSDM,ST10010ZC11_MIG_VEL.MIG_VEL.VELOCITY.3D.JS-017527.segy,SEG-Y,479335024,479.34 MB,listing,1,,,no,,,,,"Equinor Open Data Licence (study, research and development permitted for academic institutions, students and researchers; OSDU repo tooling itself is Apache-2.0)",,no,unclear,yes,unclear,unclear,licence-text,open-download,https://s3.amazonaws.com/osdu-seismic-test-data/volve/seismic/st0202/velocities/TTI_model_2011/ST10010ZC11_MIG_VEL.MIG_VEL.VELOCITY.3D.JS-017527.segy,yes,4,"TTI (tilted transverse isotropy) migration velocity volume, 2011 model. Rare: an open anisotropic migration velocity field that matches an open pre-stack gather set - the pairing that makes Volve usable for FWI/tomography experiments."
volve-osdu,Volve (OSDU open test-data S3 mirror),NO,Norwegian North Sea (block 15/9),full stack,post-stack,PSTM,ST0299-*+MIG_FIN.segy,SEG-Y,430938372,430.94 MB,listing,40,,,no,,,,"ST0299-CMP.p190 navigation (237,136 B) plus 4 per-line p190 files","Equinor Open Data Licence (study, research and development permitted for academic institutions, students and researchers; OSDU repo tooling itself is Apache-2.0)",,no,unclear,yes,unclear,unclear,licence-text,open-download,https://s3.amazonaws.com/osdu-seismic-test-data/volve/seismic/st0299/,yes,4,"40 migrated 2D lines, 12.0-19.1 MB each (largest ST0299-07001 at 19,146,960 B). Total 430,938,372 B measured by exhaustive S3 listing. Good cheap 2D corpus for line-based models; navigation ships as p190."
volve-osdu,Volve (OSDU open test-data S3 mirror),NO,Norwegian North Sea (block 15/9),well logs,non-seismic,n/a,volve/welllogs/*.las,LAS,99320744,99.32 MB,listing,28,,,no,,,,,"Equinor Open Data Licence (study, research and development permitted for academic institutions, students and researchers; OSDU repo tooling itself is Apache-2.0)",,no,unclear,yes,unclear,unclear,licence-text,open-download,https://s3.amazonaws.com/osdu-seismic-test-data/volve/welllogs/,yes,4,"28 LAS files, 99,320,744 B total by S3 listing. These are the logs that make Volve a genuine well-tie / rock-physics dataset rather than just a seismic cube."
volve-osdu,Volve (OSDU open test-data S3 mirror),NO,Norwegian North Sea (block 15/9),horizon set,post-stack,PSDM,volve/horizons/*.dat,ASCII .dat picks,102484196,102.48 MB,listing,7,,,yes,horizon,ASCII pick files on the ST0202R08 PSDM grid,Equinor Volve release via the OSDU open-test-data project,,"Equinor Open Data Licence (study, research and development permitted for academic institutions, students and researchers; OSDU repo tooling itself is Apache-2.0)",,no,unclear,yes,unclear,unclear,licence-text,open-download,https://s3.amazonaws.com/osdu-seismic-test-data/volve/horizons/,yes,4,"7 horizon files (BCU, Balder Fm, Hod Fm, Ty Fm Top, Shetland Gp, plus Hugin Fm top and base in depth), 102,484,196 B. Co-registered with the PSDM stacks, so usable directly as supervision for horizon tracking."
volve-osdu,Volve (OSDU open test-data S3 mirror),NO,Norwegian North Sea (block 15/9),fault labels,post-stack,PSDM,volve/faults/*,ASCII fault sticks,824056,824.06 KB,listing,2,,,yes,fault,fault stick / polyline files,Equinor Volve release via the OSDU open-test-data project,,"Equinor Open Data Licence (study, research and development permitted for academic institutions, students and researchers; OSDU repo tooling itself is Apache-2.0)",,no,unclear,yes,unclear,unclear,licence-text,open-download,https://s3.amazonaws.com/osdu-seismic-test-data/volve/faults/,yes,3,"Only 2 files / 824,056 B - these are interpreter fault sticks, NOT a dense voxel fault mask. Expect to rasterise them yourself before using as segmentation targets, hence ml_ready 3 not 5."
volve-osdu,Volve (OSDU open test-data S3 mirror),NO,Norwegian North Sea (block 15/9),checkshot,non-seismic,n/a,volve/checkshots/*,ASCII,71498,71.50 KB,listing,7,,,no,,,,"volve/markers 7 files 25,342 B; volve/trajectories 2 files 49,324 B; volve/documents 6 files 21,244,348 B","Equinor Open Data Licence (study, research and development permitted for academic institutions, students and researchers; OSDU repo tooling itself is Apache-2.0)",,no,unclear,yes,unclear,unclear,licence-text,open-download,https://s3.amazonaws.com/osdu-seismic-test-data/volve/checkshots/,yes,4,"7 checkshot files. Small but load-bearing: these are what let you tie the LAS logs to the PSDM stacks in time. Markers, trajectories and documents listed under ancillary are separate small prefixes in the same bucket."
volve-osdu,Volve (OSDU open test-data S3 mirror),NO,Norwegian North Sea (block 15/9),project bundle,pre-stack,PSDM,volve/**,SEG-Y; LAS; ASCII,22637514545,22.64 GB,listing,109,,,partial,horizon; fault,ASCII picks and fault sticks,Equinor Volve release via the OSDU open-test-data project,"seismic 49 files 22,413,469,774 B; horizons 7 / 102,484,196 B; welllogs 28 / 99,320,744 B; documents 6 / 21,244,348 B; faults 2 / 824,056 B; checkshots 7 / 71,498 B; trajectories 2 / 49,324 B; markers 7 / 25,342 B","Equinor Open Data Licence (study, research and development permitted for academic institutions, students and researchers; OSDU repo tooling itself is Apache-2.0)",,no,unclear,yes,unclear,unclear,licence-text,open-download,https://s3.amazonaws.com/osdu-seismic-test-data/volve/,yes,4,"ROLLUP ROW for the whole volve/ prefix - 109 objects, 22,637,514,545 B, re-measured by exhaustive ListObjectsV2 pagination this pass. Do not double-count with the per-file volve rows above. Whole bucket (incl. non-Volve prefixes r1/, tno/, nopims/) is 19,092 objects / 23,769,977,002 B."
volve-equinor-full,Volve full release (Equinor archive),NO,Norwegian North Sea (block 15/9),project bundle,pre-stack,PSDM,(whole Volve archive),SEG-Y; LAS; Eclipse; RESQML; documents,,~5 TB,published,40000,,,partial,horizon; fault,interpretation objects inside the static/dynamic models,Equinor,petrophysical and drilling logs; production data; well and completion-string design; geology and stratigraphy; static and dynamic (Eclipse) models; surface and grid data; reports; VSP; 4D,"Equinor Open Data Licence (study, research and development permitted for academic institutions, students and researchers; OSDU repo tooling itself is Apache-2.0)",,no,unclear,yes,unclear,unclear,licence-text,open-registration,https://www.equinor.com/energy/volve-data-sharing,yes,2,"SIZE EMPTY as exact bytes - Equinor publishes only ~5 TB / ~40,000 files, never a byte count. IMPORTANT: the 22.4 GB OSDU mirror is a CURATED SUBSET, not the whole seismic holding - do not conflate them. Delivery is Azure Blob (Azure Storage Explorer) or Databricks Marketplace, hence ml_ready 2 for awkward bulk access. The most complete open field-lifecycle dataset in existence."
teapot-dome,Teapot Dome / NPR-3 (RMOTC),US,"Powder River (Wyoming), land 3D",full stack,post-stack,time,filt_mig.sgy,SEG-Y,404989440,404.99 MB,HEAD,1,188 inlines x 345 crosslines x 1501 samples (3.000 s),2,no,,,,"see the rmotc.tar row - LAS logs, tops, production, GIS, horizons",Public domain (US DOE / RMOTC); SEG Wiki records no usage constraint,,yes,yes,no,no,yes,licence-text,open-download,https://s3.amazonaws.com/teapot/filt_mig.sgy,yes,4,"3D filtered post-stack migration volume. Binary header read by range request: 2000 us sample interval, 1501 samples (3.000 s), IBM float; 64,860 traces = 188 inlines x 345 crosslines, which the arithmetic confirms. Byte-identical mirror at s3.amazonaws.com/open.source.geoscience/open_data/teapot/filt_mig.sgy."
teapot-dome,Teapot Dome / NPR-3 (RMOTC),US,"Powder River (Wyoming), land 3D",pre-stack gather (CDP),pre-stack,unmigrated,npr3_gathers.sgy,SEG-Y,6107591676,6.11 GB,HEAD,1,,,no,,,,"see the rmotc.tar row - LAS logs, tops, production, GIS, horizons",Public domain (US DOE / RMOTC); SEG Wiki records no usage constraint,,yes,yes,no,no,yes,licence-text,open-download,https://s3.amazonaws.com/teapot/npr3_gathers.sgy,yes,4,"Preprocessed CMP gathers at the smooth datum surface. NOTE: reports the same Content-Length as npr3_field.sgy, but the ETags DIFFER (7117261d9083c6aceb5dac28b660ae98-92 vs 46f75afb8c9a4e375ef51bc895094a14-92), so the two files are genuinely different content - this pass resolved that open question."
teapot-dome,Teapot Dome / NPR-3 (RMOTC),US,"Powder River (Wyoming), land 3D",pre-stack gather (shot),pre-stack,unmigrated,npr3_field.sgy,SEG-Y,6107591676,6.11 GB,HEAD,1,,,no,,,,"see the rmotc.tar row - LAS logs, tops, production, GIS, horizons",Public domain (US DOE / RMOTC); SEG Wiki records no usage constraint,,yes,yes,no,no,yes,licence-text,open-download,https://s3.amazonaws.com/teapot/npr3_field.sgy,yes,4,"Unprocessed raw field shot gathers. Same Content-Length as npr3_gathers.sgy but a different ETag (46f75afb8c9a4e375ef51bc895094a14-92), confirming distinct content. Raw shots on a land 3D under public domain are rare."
teapot-dome,Teapot Dome / NPR-3 (RMOTC),US,"Powder River (Wyoming), land 3D",velocity model,post-stack,time,npr3_dmo.vel,ASCII text,27944,27.94 KB,HEAD,1,,,no,,,,,Public domain (US DOE / RMOTC); SEG Wiki records no usage constraint,,yes,yes,no,no,yes,licence-text,open-download,https://s3.amazonaws.com/teapot/npr3_dmo.vel,yes,4,"DMO velocity field as plain text - tiny, but it is what lets you reprocess the gathers to the published image."
teapot-dome,Teapot Dome / NPR-3 (RMOTC),US,"Powder River (Wyoming), land 3D",project bundle,non-seismic,n/a,rmotc.tar,TAR,1777994752,1.78 GB,HEAD,1,,,partial,horizon; formation tops,horizon grids and formation-top tables,RMOTC / US DOE field records,LAS well logs; formation tops; production history; GIS; 3D corner-point coordinates; processing-sequence documents; horizons,Public domain (US DOE / RMOTC); SEG Wiki records no usage constraint,,yes,yes,no,no,yes,licence-text,open-download,https://s3.amazonaws.com/open.source.geoscience/open_data/teapot/rmotc.tar,yes,4,"The support bundle that makes Teapot the reference US ONSHORE INTEGRATED dataset: post-stack + two pre-stack volumes + logs + tops + production history, all public domain. Note this file lives on the open.source.geoscience bucket, NOT the teapot bucket. www.rmotc.doe.gov is dead - these two S3 buckets are the surviving home. Teapot total across all 5 rows = 14,398,195,488 B."
stratton-3d,"Stratton 3D (BEG, UT Austin)",US,"South Texas (Gulf Coast), land 3D",full stack,post-stack,time,segy/processed/Stratton3D_32bit.sgy,SEG-Y,443764680,443.76 MB,HEAD,1,"71,070 traces x 1501 samples (3.000 s)",2,no,,,,,"Distribution authorised 2014 by Bob Hardage (PI) and Scott Tinker (Director, BEG); requires the acknowledgement that the data were collected and made available for worldwide education and training by the Bureau of Economic Geology at the University of Texas at Austin",,yes,unclear,yes,unclear,unclear,licence-text,open-download,https://s3.amazonaws.com/open.source.geoscience/open_data/stratton/segy/processed/Stratton3D_32bit.sgy,yes,4,"Final migrated image, 32-bit. Geometry read from the SEG-Y binary header via HTTP range request. SEG Wiki notes the dataset also includes inversion results."
stratton-3d,"Stratton 3D (BEG, UT Austin)",US,"South Texas (Gulf Coast), land 3D",pre-stack gather (CDP),pre-stack,unmigrated,segy/cdp_gathers/cdpgathers_2-80.sgy,SEG-Y,875441520,875.44 MB,HEAD,1,,,no,,,,,"Distribution authorised 2014 by Bob Hardage (PI) and Scott Tinker (Director, BEG); requires the acknowledgement that the data were collected and made available for worldwide education and training by the Bureau of Economic Geology at the University of Texas at Austin",,yes,unclear,yes,unclear,unclear,licence-text,open-download,https://s3.amazonaws.com/open.source.geoscience/open_data/stratton/segy/cdp_gathers/cdpgathers_2-80.sgy,yes,4,"CMP gathers with NMO applied, split by line range (the numbers in the filename are the line range). All 6 gather files total 4,296,916,440 B (4.00 GiB)."
stratton-3d,"Stratton 3D (BEG, UT Austin)",US,"South Texas (Gulf Coast), land 3D",pre-stack gather (CDP),pre-stack,unmigrated,segy/cdp_gathers/cdpgathers_82-140.sgy,SEG-Y,758730600,758.73 MB,HEAD,1,,,no,,,,,"Distribution authorised 2014 by Bob Hardage (PI) and Scott Tinker (Director, BEG); requires the acknowledgement that the data were collected and made available for worldwide education and training by the Bureau of Economic Geology at the University of Texas at Austin",,yes,unclear,yes,unclear,unclear,licence-text,open-download,https://s3.amazonaws.com/open.source.geoscience/open_data/stratton/segy/cdp_gathers/cdpgathers_82-140.sgy,yes,4,"CMP gathers with NMO applied, split by line range (the numbers in the filename are the line range). All 6 gather files total 4,296,916,440 B (4.00 GiB)."
stratton-3d,"Stratton 3D (BEG, UT Austin)",US,"South Texas (Gulf Coast), land 3D",pre-stack gather (CDP),pre-stack,unmigrated,segy/cdp_gathers/cdpgathers_142-200.sgy,SEG-Y,776357280,776.36 MB,HEAD,1,,,no,,,,,"Distribution authorised 2014 by Bob Hardage (PI) and Scott Tinker (Director, BEG); requires the acknowledgement that the data were collected and made available for worldwide education and training by the Bureau of Economic Geology at the University of Texas at Austin",,yes,unclear,yes,unclear,unclear,licence-text,open-download,https://s3.amazonaws.com/open.source.geoscience/open_data/stratton/segy/cdp_gathers/cdpgathers_142-200.sgy,yes,4,"CMP gathers with NMO applied, split by line range (the numbers in the filename are the line range). All 6 gather files total 4,296,916,440 B (4.00 GiB)."
stratton-3d,"Stratton 3D (BEG, UT Austin)",US,"South Texas (Gulf Coast), land 3D",pre-stack gather (CDP),pre-stack,unmigrated,segy/cdp_gathers/cdpgathers_202-290.sgy,SEG-Y,1181982960,1.18 GB,HEAD,1,,,no,,,,,"Distribution authorised 2014 by Bob Hardage (PI) and Scott Tinker (Director, BEG); requires the acknowledgement that the data were collected and made available for worldwide education and training by the Bureau of Economic Geology at the University of Texas at Austin",,yes,unclear,yes,unclear,unclear,licence-text,open-download,https://s3.amazonaws.com/open.source.geoscience/open_data/stratton/segy/cdp_gathers/cdpgathers_202-290.sgy,yes,4,"CMP gathers with NMO applied, split by line range (the numbers in the filename are the line range). All 6 gather files total 4,296,916,440 B (4.00 GiB)."
stratton-3d,"Stratton 3D (BEG, UT Austin)",US,"South Texas (Gulf Coast), land 3D",pre-stack gather (CDP),pre-stack,unmigrated,segy/cdp_gathers/cdpgathers_290-310.sgy,SEG-Y,243849600,243.85 MB,HEAD,1,,,no,,,,,"Distribution authorised 2014 by Bob Hardage (PI) and Scott Tinker (Director, BEG); requires the acknowledgement that the data were collected and made available for worldwide education and training by the Bureau of Economic Geology at the University of Texas at Austin",,yes,unclear,yes,unclear,unclear,licence-text,open-download,https://s3.amazonaws.com/open.source.geoscience/open_data/stratton/segy/cdp_gathers/cdpgathers_290-310.sgy,yes,4,"CMP gathers with NMO applied, split by line range (the numbers in the filename are the line range). All 6 gather files total 4,296,916,440 B (4.00 GiB)."
stratton-3d,"Stratton 3D (BEG, UT Austin)",US,"South Texas (Gulf Coast), land 3D",pre-stack gather (CDP),pre-stack,unmigrated,segy/cdp_gathers/cdpgathers_601-630.sgy,SEG-Y,460554480,460.55 MB,HEAD,1,,,no,,,,,"Distribution authorised 2014 by Bob Hardage (PI) and Scott Tinker (Director, BEG); requires the acknowledgement that the data were collected and made available for worldwide education and training by the Bureau of Economic Geology at the University of Texas at Austin",,yes,unclear,yes,unclear,unclear,licence-text,open-download,https://s3.amazonaws.com/open.source.geoscience/open_data/stratton/segy/cdp_gathers/cdpgathers_601-630.sgy,yes,4,"CMP gathers with NMO applied, split by line range (the numbers in the filename are the line range). All 6 gather files total 4,296,916,440 B (4.00 GiB)."
stratton-3d,"Stratton 3D (BEG, UT Austin)",US,"South Texas (Gulf Coast), land 3D",pre-stack gather (shot),pre-stack,unmigrated,segy/navmerged/swath_1_geometry.sgy,SEG-Y,1671130800,1.67 GB,HEAD,1,,,no,,,,geometry merged into trace headers,"Distribution authorised 2014 by Bob Hardage (PI) and Scott Tinker (Director, BEG); requires the acknowledgement that the data were collected and made available for worldwide education and training by the Bureau of Economic Geology at the University of Texas at Austin",,yes,unclear,yes,unclear,unclear,licence-text,open-download,https://s3.amazonaws.com/open.source.geoscience/open_data/stratton/segy/navmerged/swath_1_geometry.sgy,yes,4,"Unprocessed shot gathers with acquisition geometry ALREADY LOADED into the trace headers - that is what makes Stratton the easiest complete land-3D processing exercise. All 4 swaths total 6,606,921,600 B (6.15 GiB)."
stratton-3d,"Stratton 3D (BEG, UT Austin)",US,"South Texas (Gulf Coast), land 3D",pre-stack gather (shot),pre-stack,unmigrated,segy/navmerged/swath_2_geometry.sgy,SEG-Y,1636369200,1.64 GB,HEAD,1,,,no,,,,geometry merged into trace headers,"Distribution authorised 2014 by Bob Hardage (PI) and Scott Tinker (Director, BEG); requires the acknowledgement that the data were collected and made available for worldwide education and training by the Bureau of Economic Geology at the University of Texas at Austin",,yes,unclear,yes,unclear,unclear,licence-text,open-download,https://s3.amazonaws.com/open.source.geoscience/open_data/stratton/segy/navmerged/swath_2_geometry.sgy,yes,4,"Unprocessed shot gathers with acquisition geometry ALREADY LOADED into the trace headers - that is what makes Stratton the easiest complete land-3D processing exercise. All 4 swaths total 6,606,921,600 B (6.15 GiB)."
stratton-3d,"Stratton 3D (BEG, UT Austin)",US,"South Texas (Gulf Coast), land 3D",pre-stack gather (shot),pre-stack,unmigrated,segy/navmerged/swath_3_geometry.sgy,SEG-Y,1697373360,1.70 GB,HEAD,1,,,no,,,,geometry merged into trace headers,"Distribution authorised 2014 by Bob Hardage (PI) and Scott Tinker (Director, BEG); requires the acknowledgement that the data were collected and made available for worldwide education and training by the Bureau of Economic Geology at the University of Texas at Austin",,yes,unclear,yes,unclear,unclear,licence-text,open-download,https://s3.amazonaws.com/open.source.geoscience/open_data/stratton/segy/navmerged/swath_3_geometry.sgy,yes,4,"Unprocessed shot gathers with acquisition geometry ALREADY LOADED into the trace headers - that is what makes Stratton the easiest complete land-3D processing exercise. All 4 swaths total 6,606,921,600 B (6.15 GiB)."
stratton-3d,"Stratton 3D (BEG, UT Austin)",US,"South Texas (Gulf Coast), land 3D",pre-stack gather (shot),pre-stack,unmigrated,segy/navmerged/swath_4_geometry.sgy,SEG-Y,1602048240,1.60 GB,HEAD,1,,,no,,,,geometry merged into trace headers,"Distribution authorised 2014 by Bob Hardage (PI) and Scott Tinker (Director, BEG); requires the acknowledgement that the data were collected and made available for worldwide education and training by the Bureau of Economic Geology at the University of Texas at Austin",,yes,unclear,yes,unclear,unclear,licence-text,open-download,https://s3.amazonaws.com/open.source.geoscience/open_data/stratton/segy/navmerged/swath_4_geometry.sgy,yes,4,"Unprocessed shot gathers with acquisition geometry ALREADY LOADED into the trace headers - that is what makes Stratton the easiest complete land-3D processing exercise. All 4 swaths total 6,606,921,600 B (6.15 GiB)."
stratton-3d,"Stratton 3D (BEG, UT Austin)",US,"South Texas (Gulf Coast), land 3D",VSP,pre-stack,unmigrated,segy/VSP/NVSP1.SGY,SEG-Y,596880,596.88 KB,HEAD,1,,,no,,,,,"Distribution authorised 2014 by Bob Hardage (PI) and Scott Tinker (Director, BEG); requires the acknowledgement that the data were collected and made available for worldwide education and training by the Bureau of Economic Geology at the University of Texas at Austin",,yes,unclear,yes,unclear,unclear,licence-text,open-download,https://s3.amazonaws.com/open.source.geoscience/open_data/stratton/segy/VSP/NVSP1.SGY,yes,4,"Near-offset VSP. SEG Wiki flags WVSP1.SGY as a possible duplicate of this file; the byte counts are identical (596,880), which supports that - compare ETags before storing both."
stratton-3d,"Stratton 3D (BEG, UT Austin)",US,"South Texas (Gulf Coast), land 3D",VSP,pre-stack,unmigrated,segy/VSP/NVSP2.SGY,SEG-Y,183118,183.12 KB,HEAD,1,,,no,,,,,"Distribution authorised 2014 by Bob Hardage (PI) and Scott Tinker (Director, BEG); requires the acknowledgement that the data were collected and made available for worldwide education and training by the Bureau of Economic Geology at the University of Texas at Austin",,yes,unclear,yes,unclear,unclear,licence-text,open-download,https://s3.amazonaws.com/open.source.geoscience/open_data/stratton/segy/VSP/NVSP2.SGY,yes,4,"Near-offset VSP, second record. Identical byte count to WVSP2.SGY (183,118) - same duplicate caveat."
stratton-3d,"Stratton 3D (BEG, UT Austin)",US,"South Texas (Gulf Coast), land 3D",VSP,pre-stack,unmigrated,segy/VSP/WVSP1.SGY,SEG-Y,596880,596.88 KB,HEAD,1,,,no,,,,,"Distribution authorised 2014 by Bob Hardage (PI) and Scott Tinker (Director, BEG); requires the acknowledgement that the data were collected and made available for worldwide education and training by the Bureau of Economic Geology at the University of Texas at Austin",,yes,unclear,yes,unclear,unclear,licence-text,open-download,https://s3.amazonaws.com/open.source.geoscience/open_data/stratton/segy/VSP/WVSP1.SGY,yes,4,Walkaway/offset VSP. Identical byte count to NVSP1.SGY - possibly the same data under a second name.
stratton-3d,"Stratton 3D (BEG, UT Austin)",US,"South Texas (Gulf Coast), land 3D",VSP,pre-stack,unmigrated,segy/VSP/WVSP2.SGY,SEG-Y,183118,183.12 KB,HEAD,1,,,no,,,,,"Distribution authorised 2014 by Bob Hardage (PI) and Scott Tinker (Director, BEG); requires the acknowledgement that the data were collected and made available for worldwide education and training by the Bureau of Economic Geology at the University of Texas at Austin",,yes,unclear,yes,unclear,unclear,licence-text,open-download,https://s3.amazonaws.com/open.source.geoscience/open_data/stratton/segy/VSP/WVSP2.SGY,yes,4,"Walkaway/offset VSP, second record. Identical byte count to NVSP2.SGY."
stratton-3d,"Stratton 3D (BEG, UT Austin)",US,"South Texas (Gulf Coast), land 3D",VSP,non-seismic,n/a,segy/VSP/TABLE3.TXT; segy/VSP/VSP_9.TXT,ASCII text,41816,41.82 KB,HEAD,2,,,no,,,,,"Distribution authorised 2014 by Bob Hardage (PI) and Scott Tinker (Director, BEG); requires the acknowledgement that the data were collected and made available for worldwide education and training by the Bureau of Economic Geology at the University of Texas at Austin",,yes,unclear,yes,unclear,unclear,licence-text,open-download,https://s3.amazonaws.com/open.source.geoscience/open_data/stratton/segy/VSP/,yes,4,"VSP tables: TABLE3.TXT 14,777 B and VSP_9.TXT 27,039 B. SEG Wiki asks (unresolved) whether TABLE3 is the corridor stack."
stratton-3d,"Stratton 3D (BEG, UT Austin)",US,"South Texas (Gulf Coast), land 3D",well logs,non-seismic,n/a,Stratton_wells.zip,ZIP,1076309,1.08 MB,HEAD,1,,,no,,,,described by Stratton_Achieve_Log.pdf,"Distribution authorised 2014 by Bob Hardage (PI) and Scott Tinker (Director, BEG); requires the acknowledgement that the data were collected and made available for worldwide education and training by the Bureau of Economic Geology at the University of Texas at Austin",,yes,unclear,yes,unclear,unclear,licence-text,open-download,https://s3.amazonaws.com/open.source.geoscience/open_data/stratton/Stratton_wells.zip,yes,4,"Well logs for the survey. Only 1.03 MiB - small, but it is what closes the loop from raw shots to a well tie."
stratton-3d,"Stratton 3D (BEG, UT Austin)",US,"South Texas (Gulf Coast), land 3D",report,non-seismic,n/a,Stratton_Achieve_Log.pdf,PDF,4598806,4.60 MB,HEAD,1,,,no,,,,,"Distribution authorised 2014 by Bob Hardage (PI) and Scott Tinker (Director, BEG); requires the acknowledgement that the data were collected and made available for worldwide education and training by the Bureau of Economic Geology at the University of Texas at Austin",,yes,unclear,yes,unclear,unclear,licence-text,open-download,https://s3.amazonaws.com/open.source.geoscience/open_data/stratton/Stratton_Achieve_Log.pdf,yes,4,Well-log description document for Stratton_wells.zip.
stratton-3d,"Stratton 3D (BEG, UT Austin)",US,"South Texas (Gulf Coast), land 3D",report,non-seismic,n/a,stratton_acqui_proc.pdf,PDF,1416031,1.42 MB,HEAD,1,,,no,,,,,"Distribution authorised 2014 by Bob Hardage (PI) and Scott Tinker (Director, BEG); requires the acknowledgement that the data were collected and made available for worldwide education and training by the Bureau of Economic Geology at the University of Texas at Austin",,yes,unclear,yes,unclear,unclear,licence-text,open-download,https://s3.amazonaws.com/open.source.geoscience/open_data/stratton/stratton_acqui_proc.pdf,yes,4,Acquisition and processing report - the reference for reproducing the published image from the raw swaths.
stratton-3d,"Stratton 3D (BEG, UT Austin)",US,"South Texas (Gulf Coast), land 3D",project bundle,pre-stack,time,open_data/stratton/**,SEG-Y; ZIP; PDF; text,11356295678,11.36 GB,HEAD,20,,,no,,,,raw shots + CMP gathers + final image + VSP + well logs + reports,"Distribution authorised 2014 by Bob Hardage (PI) and Scott Tinker (Director, BEG); requires the acknowledgement that the data were collected and made available for worldwide education and training by the Bureau of Economic Geology at the University of Texas at Austin",,yes,unclear,yes,unclear,unclear,licence-text,open-download,https://s3.amazonaws.com/open.source.geoscience/open_data/stratton/,yes,4,"ROLLUP ROW - all 20 Stratton objects re-probed individually by HEAD this pass and summed to exactly 11,356,295,678 B (10.58 GiB), matching prior research. Do not double-count with the per-file rows. The smallest COMPLETE land 3D package anywhere: raw shots, gathers, final image, VSP and logs."
scan-2d,SCAN programme regional 2D (TNO + EBN),NL,onshore Netherlands (geothermal screening),project bundle,post-stack,PSDM,*.zip (98 links on the SCAN page),ZIP,234647068060,234.65 GB,HEAD,98,"73 newly acquired lines (2019-2025) + 4 widelines + 6 cross-spread pseudo-3D + 11 reprocessing packages covering ~6,700 km",,no,,,,processed sections; VELOCITY MODELS; processing reports and appendices,"No explicit licence text is published on the NLOG SCAN page - free download, terms unstated",,unclear,unclear,unclear,unclear,unclear,unstated,open-download,https://www.nlog.nl/en/scan-2d-seismic-data,yes,3,"ROLLUP ROW - 98 unique .zip links were swept by HEAD; 97 returned a Content-Length and those sum to exactly 234,647,068,060 B. The one unsized link is counted in n_files but contributes 0 bytes, so the true total is slightly larger. Lines 68-73 are only reachable via the interactive map, not the link list. commercial_ok=unclear because NLOG publishes no licence text for this page. Genuinely NEW state-funded 2D with offsets to 29 km and RELEASED velocity models - unusually good for velocity/FWI work. Raw field data is a fee-bearing NLOG Servicedesk request."
scan-2d,SCAN programme regional 2D (TNO + EBN),NL,onshore Netherlands (geothermal screening),project bundle,post-stack,PSDM,SCAN002_PreSDM_RTM.zip,ZIP,12633310523,12.63 GB,HEAD,1,,,no,,,,velocity models and processing reports ship inside the zips,"No explicit licence text is published on the NLOG SCAN page - free download, terms unstated",,unclear,unclear,unclear,unclear,unclear,unstated,open-download,https://www.nlog.nl/sites/default/files/big_files/SCAN002_PreSDM_RTM.zip,yes,3,Largest single SCAN file. Pre-stack depth migration AND reverse-time migration products for line SCAN002 - the flagship deliverable of the programme. Content-Length re-verified by HEAD this pass (HTTP 200).
scan-2d,SCAN programme regional 2D (TNO + EBN),NL,onshore Netherlands (geothermal screening),project bundle,post-stack,time,GTO-19-C032-01_Zeeland_NAM.zip,ZIP,11591053247,11.59 GB,HEAD,1,,,no,,,,velocity models and processing reports ship inside the zips,"No explicit licence text is published on the NLOG SCAN page - free download, terms unstated",,unclear,unclear,unclear,unclear,unclear,unstated,open-download,https://www.nlog.nl/sites/default/files/big_files/GTO-19-C032-01_Zeeland_NAM.zip,yes,3,Zeeland reprocessing package (NAM legacy data). Second largest SCAN download. Content-Length re-verified by HEAD this pass (HTTP 200).
scan-2d,SCAN programme regional 2D (TNO + EBN),NL,onshore Netherlands (geothermal screening),full stack,post-stack,time,L2EBN2021ASCAN020.zip,ZIP,8260061948,8.26 GB,HEAD,1,,,no,,,,velocity models and processing reports ship inside the zips,"No explicit licence text is published on the NLOG SCAN page - free download, terms unstated",,unclear,unclear,unclear,unclear,unclear,unstated,open-download,https://www.nlog.nl/sites/default/files/big_files/L2EBN2021ASCAN020.zip,yes,3,Newly acquired long-offset 2D line SCAN020 (2021 campaign). Content-Length re-verified by HEAD this pass (HTTP 200).
